CONTAINER ID        IMAGE               COMMAND             CREATED             STATUS              PORTS                                                                                                                                                                                                                NAMES
8384717fe939        lab-base            "/bin/bash"         9 minutes ago       Up 9 minutes        192.168.0.113:22->22/tcp, 192.168.0.113:443->443/tcp, 192.168.0.113:9001->9001/tcp, 192.168.0.113:9030->9030/tcp                                                                                                     baddie3
e347e6a373c6        lab-base            "/bin/bash"         9 minutes ago       Up 9 minutes        192.168.0.150:135->135/tcp, 192.168.0.150:8080->8080/tcp, 192.168.0.150:9091->9091/tcp, 192.168.0.150:51413->51413/tcp                                                                                               baddie2
7ecb9fa69dda        lab-base            "/bin/bash"         9 minutes ago       Up 9 minutes        192.168.0.145:135->135/tcp, 192.168.0.145:3389->3389/tcp, 192.168.0.145:25565->25565/tcp                                                                                                                             baddie1
87eea2aef614        lab-base            "/bin/bash"         10 minutes ago      Up 9 minutes        192.168.0.125:80->80/tcp, 192.168.0.125:443->443/tcp, 192.168.0.125:631->631/tcp, 192.168.0.125:3910-3911->3910-3911/tcp, 192.168.0.125:8080->8080/tcp, 192.168.0.125:9100->9100/tcp, 192.168.0.125:9220->9220/tcp   printer4
c5fe007f86b3        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.116:631->631/tcp, 192.168.0.116:5001->5001/tcp, 192.168.0.116:9100->9100/tcp, 192.168.0.116:9600->9600/tcp                                                                                                 printer3
8c1ee12901d9        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.149:631->631/tcp, 192.168.0.149:2501->2501/tcp, 192.168.0.149:5001->5001/tcp                                                                                                                               printer2
b1953d86b428        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.136:80->80/tcp, 192.168.0.136:443->443/tcp, 192.168.0.136:631->631/tcp, 192.168.0.136:3910-3911->3910-3911/tcp, 192.168.0.136:8080->8080/tcp, 192.168.0.136:9100->9100/tcp, 192.168.0.136:9220->9220/tcp   printer1
2fd43363fcd1        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.133:22->22/tcp                                                                                                                                                                                             linux2
e4a34621ab58        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.114:22->22/tcp, 192.168.0.114:5900-5901->5900-5901/tcp                                                                                                                                                     linux1
2b0bce6fad7f        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.134:135->135/tcp                                                               win10
4bca6e58f7eb        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.129:135->135/tcp, 192.168.0.129:3389->3389/tcp                                 win9
c6ee1983d86f        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.138:445->445/tcp, 192.168.0.138:3389->3389/tcp                                 win8
8645e3bb5a64        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.132:135->135/tcp, 192.168.0.132:3389->3389/tcp                                 win7
c11aed68887c        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.103:135->135/tcp                                                               win6
0e3e51125a54        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.126:135->135/tcp, 192.168.0.126:445->445/tcp                                   win5
df5a738a6e43        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.104:135->135/tcp, 192.168.0.104:445->445/tcp, 192.168.0.104:3389->3389/tcp     win4
3d3379c37bd2        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.117:135->135/tcp, 192.168.0.117:4000->4000/tcp                                 win3
6ed486c1fafb        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.102:135->135/tcp                                                               win2
c035e01a4c6f        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.100:3389->3389/tcp                                                             win1
983ea47eaf66        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.17:20-21->20-21/tcp, 192.168.0.17:23->23/tcp                                   fileserver
6ae92e3ac035        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.16:25->25/tcp, 192.168.0.16:110->110/tcp                                       mailserver
e4a16648611d        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.14:1433-1434->1433-1434/tcp                                                    msdb
a353f548cac5        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.13:22->22/tcp, 192.168.0.13:3306->3306/tcp                                     mysqldb
6ec6e8313422        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.14:135->135/tcp, 192.168.0.14:389->389/tcp, 192.168.0.14:445->445/tcp          dc2
79cf86fcd20e        lab-base            "/bin/bash"         10 minutes ago      Up 10 minutes       192.168.0.12:135->135/tcp, 192.168.0.12:389->389/tcp, 192.168.0.12:445->445/tcp          dc1
